transaction_id,posting_date,fiscal_year,fiscal_quarter,cost_center,department,expense_category,vendor_name,actual_amount_usd,actual_amount_inr,payment_status
TXN-2025020862,2025-01-01,2025,Q1,CC-600,Product & Design,Prototyping Software,Figma,2895.88,276440.7,Settled
TXN-2025019826,2025-01-01,2025,Q1,CC-500,Finance & Legal,Payroll Processing,ADP,4011.45,382933.02,Settled
TXN-2025001949,2025-01-01,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Google Cloud,2770.11,264434.7,Cleared
TXN-2025013289,2025-01-01,2025,Q1,CC-300,Sales,CRM & Enablement Software,Salesforce,8159.25,778882.0,Settled
TXN-2025001409,2025-01-01,2025,Q1,CC-100,Engineering,Cloud Infrastructure,AWS,4347.17,414980.85,Settled
TXN-2025014119,2025-01-01,2025,Q1,CC-300,Sales,CRM & Enablement Software,Gong,4824.2,460518.13,Cleared
TXN-2025003511,2025-01-01,2025,Q1,CC-100,Engineering,Salaries & Contractors,Adecco Staffing,13361.99,1275535.57,Settled
TXN-2025021055,2025-01-01,2025,Q1,CC-600,Product & Design,Prototyping Software,Miro,14773.74,1410301.22,Settled
TXN-2025014900,2025-01-01,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,Oracle NetSuite,7093.45,677140.74,Cleared
TXN-2025017869,2025-01-01,2025,Q1,CC-500,Finance & Legal,External Audit & Tax,KPMG Tax,1769.58,168924.11,Settled
TXN-2025013415,2025-01-01,2025,Q1,CC-300,Sales,CRM & Enablement Software,Salesforce,8056.66,769088.76,Cleared
TXN-2025016102,2025-01-01,2025,Q1,CC-400,Operations,Office Facilities & Lease,Regus,4201.32,401058.01,Settled
TXN-2025008042,2025-01-01,2025,Q1,CC-200,Marketing,Paid Performance Ads,Meta Ads,1523.91,145472.45,Settled
TXN-2025013447,2025-01-01,2025,Q1,CC-300,Sales,CRM & Enablement Software,Salesforce,8636.04,824396.38,Settled
TXN-2025007007,2025-01-02,2025,Q1,CC-200,Marketing,Paid Performance Ads,Google Ads,8711.07,831558.74,Cleared
TXN-2025007946,2025-01-02,2025,Q1,CC-200,Marketing,Paid Performance Ads,LinkedIn Ads,4373.65,417508.63,Settled
TXN-2025021809,2025-01-02,2025,Q1,CC-600,Product & Design,Design Contractors,Fiverr Business,10855.45,1036261.26,Settled
TXN-2025023775,2025-01-02,2025,Q1,CC-700,Customer Success,Customer Advisory Board,Eventbrite,1758.86,167900.78,Settled
TXN-2025005863,2025-01-02,2025,Q1,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,7187.89,686155.98,Settled
TXN-2025010557,2025-01-02,2025,Q1,CC-200,Marketing,Brand & Creative Assets,Adobe,6619.11,631860.24,Settled
TXN-2025010625,2025-01-02,2025,Q1,CC-200,Marketing,Brand & Creative Assets,Canva Enterprise,2700.52,257791.64,Settled
TXN-2025009162,2025-01-02,2025,Q1,CC-200,Marketing,Events & Sponsorships,Regional Expo Group,5847.46,558198.53,Settled
TXN-2025019089,2025-01-02,2025,Q1,CC-500,Finance & Legal,Legal Counsel & Retainers,Clifford Chance,7068.31,674740.87,Cleared
TXN-2025010753,2025-01-02,2025,Q1,CC-300,Sales,Travel & Entertainment,American Airlines,15818.31,1510015.87,Settled
TXN-2025005601,2025-01-02,2025,Q1,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,876.85,83704.1,Settled
TXN-2025001739,2025-01-02,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Google Cloud,6579.44,628073.34,Settled
TXN-2025023734,2025-01-02,2025,Q1,CC-700,Customer Success,Ticketing & Support Tools,Intercom,1650.72,157577.73,Settled
TXN-2025014920,2025-01-02,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,SAP,13522.42,1290850.21,Settled
TXN-2025001622,2025-01-02,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Google Cloud,4562.86,435570.62,Cleared
TXN-2025009016,2025-01-02,2025,Q1,CC-200,Marketing,Events & Sponsorships,SaaStr Events,10143.79,968326.19,Settled
TXN-2025020413,2025-01-02,2025,Q1,CC-600,Product & Design,UX Research & UserTesting,Qualtrics,4855.59,463514.62,Settled
TXN-2025001550,2025-01-02,2025,Q1,CC-100,Engineering,Cloud Infrastructure,AWS,8198.79,782656.49,Cleared
TXN-2025008863,2025-01-02,2025,Q1,CC-200,Marketing,Events & Sponsorships,Web Summit,3260.36,311233.97,Cleared
TXN-2025020345,2025-01-02,2025,Q1,CC-600,Product & Design,UX Research & UserTesting,UserTesting,3881.88,370564.26,Cleared
TXN-2025005400,2025-01-02,2025,Q1,CC-100,Engineering,DevOps Tooling,Atlassian,2976.79,284164.37,Settled
TXN-2025024158,2025-01-02,2025,Q1,CC-700,Customer Success,Customer Advisory Board,Customer Research Partners,1867.14,178237.18,Settled
TXN-2025005896,2025-01-02,2025,Q1,CC-100,Engineering,DevOps Tooling,Datadog,14066.83,1342819.59,Cleared
TXN-2025001237,2025-01-02,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,11653.57,1112449.79,Settled
TXN-2025005961,2025-01-02,2025,Q1,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,1992.23,190178.28,Cleared
TXN-2025021086,2025-01-02,2025,Q1,CC-600,Product & Design,Prototyping Software,Figma,7797.32,744332.17,Settled
TXN-2025015191,2025-01-02,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,Oracle NetSuite,3979.7,379902.16,Settled
TXN-2025009565,2025-01-02,2025,Q1,CC-200,Marketing,Content & SEO Agencies,ContentWorks,6973.7,665709.4,Settled
TXN-2025001913,2025-01-02,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Google Cloud,14011.75,1337561.66,Settled
TXN-2025015121,2025-01-02,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,Oracle NetSuite,7565.51,722203.58,Cleared
TXN-2025009796,2025-01-02,2025,Q1,CC-200,Marketing,Content & SEO Agencies,ContentWorks,9822.97,937700.72,Settled
TXN-2025019573,2025-01-02,2025,Q1,CC-500,Finance & Legal,Payroll Processing,Workday Payroll,6249.73,596599.23,Cleared
TXN-2025006591,2025-01-02,2025,Q1,CC-100,Engineering,Hardware & Peripherals,Lenovo,1861.76,177723.61,Settled
TXN-2025011235,2025-01-02,2025,Q1,CC-300,Sales,Travel & Entertainment,Uber for Business,1917.31,183026.41,Settled
TXN-2025014794,2025-01-02,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,SAP,16987.57,1621633.43,Settled
TXN-2025023883,2025-01-02,2025,Q1,CC-700,Customer Success,Customer Advisory Board,Eventbrite,5263.13,502418.39,Settled
TXN-2025020902,2025-01-02,2025,Q1,CC-600,Product & Design,Prototyping Software,Adobe XD,4443.72,424197.51,Cleared
TXN-2025020871,2025-01-02,2025,Q1,CC-600,Product & Design,Prototyping Software,Miro,14175.83,1353224.73,Settled
TXN-2025001294,2025-01-02,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Google Cloud,7628.33,728200.38,Settled
TXN-2025006313,2025-01-02,2025,Q1,CC-100,Engineering,Hardware & Peripherals,Lenovo,2174.09,207538.63,Settled
TXN-2025021543,2025-01-02,2025,Q1,CC-600,Product & Design,Design Contractors,Toptal,9427.72,899970.15,Settled
TXN-2025023989,2025-01-02,2025,Q1,CC-700,Customer Success,Customer Advisory Board,Customer Research Partners,5638.52,538253.12,Cleared
TXN-2025023817,2025-01-02,2025,Q1,CC-700,Customer Success,Customer Advisory Board,Customer Research Partners,10022.82,956778.4,Cleared
TXN-2025021611,2025-01-02,2025,Q1,CC-600,Product & Design,Design Contractors,Design Contractor Pool,4529.85,432419.48,Settled
TXN-2025020851,2025-01-02,2025,Q1,CC-600,Product & Design,Prototyping Software,Miro,3867.31,369173.41,Settled
TXN-2025020742,2025-01-02,2025,Q1,CC-600,Product & Design,UX Research & UserTesting,Maze,15001.07,1432002.14,Settled
TXN-2025010403,2025-01-02,2025,Q1,CC-200,Marketing,Brand & Creative Assets,Canva Enterprise,2108.73,201299.37,Settled
TXN-2025019275,2025-01-02,2025,Q1,CC-500,Finance & Legal,Treasury & Bank Fees,Bank Processing Network,6661.93,635947.84,Settled
TXN-2025016526,2025-01-02,2025,Q1,CC-400,Operations,Office Facilities & Lease,Regus,244.75,23363.84,Settled
TXN-2025005193,2025-01-02,2025,Q1,CC-100,Engineering,DevOps Tooling,Datadog,2853.99,272441.89,Cleared
TXN-2025014036,2025-01-02,2025,Q1,CC-300,Sales,CRM & Enablement Software,Gong,3796.75,362437.76,Settled
TXN-2025002384,2025-01-02,2025,Q1,CC-100,Engineering,Salaries & Contractors,Adecco Staffing,3429.87,327415.39,Settled
TXN-2025017987,2025-01-02,2025,Q1,CC-500,Finance & Legal,External Audit & Tax,KPMG Tax,5272.74,503335.76,Settled
TXN-2025000773,2025-01-02,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Google Cloud,5156.73,492261.45,Settled
TXN-2025022866,2025-01-02,2025,Q1,CC-700,Customer Success,Ticketing & Support Tools,Freshworks,2901.13,276941.87,Settled
TXN-2025000901,2025-01-02,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,844.44,80610.24,Settled
TXN-2025004277,2025-01-02,2025,Q1,CC-100,Engineering,Salaries & Contractors,Contractor Payroll,3228.97,308237.48,Settled
TXN-2025014221,2025-01-02,2025,Q1,CC-300,Sales,Client Hospitality,Client Dining Partners,7490.28,715022.13,Settled
TXN-2025004040,2025-01-02,2025,Q1,CC-100,Engineering,Salaries & Contractors,Robert Half,3476.06,331824.69,Settled
TXN-2025000846,2025-01-02,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,6204.82,592312.12,Settled
TXN-2025000845,2025-01-02,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,10470.27,999491.97,Cleared
TXN-2025002580,2025-01-02,2025,Q1,CC-100,Engineering,Salaries & Contractors,Contractor Payroll,1217.94,116264.55,Settled
TXN-2025017804,2025-01-02,2025,Q1,CC-500,Finance & Legal,External Audit & Tax,KPMG Tax,5785.25,552259.96,Settled
TXN-2025023627,2025-01-02,2025,Q1,CC-700,Customer Success,Ticketing & Support Tools,Intercom,4882.48,466081.54,Settled
TXN-2025004629,2025-01-02,2025,Q1,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,9469.92,903998.56,Cleared
TXN-2025000381,2025-01-02,2025,Q1,CC-100,Engineering,Cloud Infrastructure,AWS,3419.42,326417.83,Pending
TXN-2025024580,2025-01-02,2025,Q1,CC-700,Customer Success,Retention Swag & Gifting,Sendoso,2018.68,192703.19,Pending
TXN-2025016159,2025-01-02,2025,Q1,CC-400,Operations,Office Facilities & Lease,WeWork,2352.63,224582.06,Settled
TXN-2025004921,2025-01-02,2025,Q1,CC-100,Engineering,DevOps Tooling,Atlassian,5419.05,517302.51,Settled
TXN-2025013725,2025-01-02,2025,Q1,CC-300,Sales,CRM & Enablement Software,HubSpot,1933.46,184568.09,Settled
TXN-2025015915,2025-01-02,2025,Q1,CC-400,Operations,Office Facilities & Lease,Regus,1542.63,147259.46,Settled
TXN-2025015902,2025-01-02,2025,Q1,CC-400,Operations,Office Facilities & Lease,CBRE,4070.95,388612.89,Settled
TXN-2025002859,2025-01-02,2025,Q1,CC-100,Engineering,Salaries & Contractors,Adecco Staffing,21216.89,2025364.32,Cleared
TXN-2025011562,2025-01-02,2025,Q1,CC-300,Sales,Commissions & Incentives,Direct Commission Disbursal,4636.89,442637.52,Settled
TXN-2025012765,2025-01-02,2025,Q1,CC-300,Sales,Commissions & Incentives,Sales Incentive Pool,1976.89,188713.92,Settled
TXN-2025003023,2025-01-02,2025,Q1,CC-100,Engineering,Salaries & Contractors,Adecco Staffing,1124.56,107350.5,Settled
TXN-2025017457,2025-01-02,2025,Q1,CC-400,Operations,Professional Services,PwC,6217.37,593510.14,Settled
TXN-2025016153,2025-01-02,2025,Q1,CC-400,Operations,Office Facilities & Lease,CBRE,7266.8,693688.73,Settled
TXN-2025011564,2025-01-02,2025,Q1,CC-300,Sales,Commissions & Incentives,Direct Commission Disbursal,7773.59,742066.9,Pending
TXN-2025003090,2025-01-02,2025,Q1,CC-100,Engineering,Salaries & Contractors,Adecco Staffing,6433.51,614142.86,Cleared
TXN-2025017465,2025-01-02,2025,Q1,CC-400,Operations,Professional Services,PwC,3184.53,303995.23,Cleared
TXN-2025016150,2025-01-02,2025,Q1,CC-400,Operations,Office Facilities & Lease,Regus,6225.8,594314.87,Cleared
TXN-2025003684,2025-01-02,2025,Q1,CC-100,Engineering,Salaries & Contractors,Robert Half,19752.71,1885593.7,Cleared
TXN-2025006813,2025-01-03,2025,Q1,CC-100,Engineering,Hardware & Peripherals,Dell Technologies,7898.68,754007.99,Cleared
TXN-2025002677,2025-01-03,2025,Q1,CC-100,Engineering,Salaries & Contractors,Robert Half,8400.54,801915.55,Cleared
TXN-2025012954,2025-01-03,2025,Q1,CC-300,Sales,Commissions & Incentives,Direct Commission Disbursal,1586.79,151474.97,Settled
TXN-2025024247,2025-01-03,2025,Q1,CC-700,Customer Success,Customer Advisory Board,Eventbrite,11558.57,1103381.09,Settled
TXN-2025006811,2025-01-03,2025,Q1,CC-100,Engineering,Hardware & Peripherals,CDW,9471.21,904121.71,Cleared
TXN-2025004023,2025-01-03,2025,Q1,CC-100,Engineering,Salaries & Contractors,Robert Half,4842.99,462311.83,Cleared
TXN-2025012959,2025-01-03,2025,Q1,CC-300,Sales,Commissions & Incentives,Xactly,3169.15,302527.06,Pending
TXN-2025010038,2025-01-03,2025,Q1,CC-200,Marketing,Content & SEO Agencies,ContentWorks,2055.24,196193.21,Settled
TXN-2025000707,2025-01-03,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Google Cloud,909.11,86783.64,Settled
TXN-2025000575,2025-01-03,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,4226.11,403424.46,Settled
TXN-2025013016,2025-01-03,2025,Q1,CC-300,Sales,Commissions & Incentives,Xactly,3873.59,369772.9,Cleared
TXN-2025008689,2025-01-03,2025,Q1,CC-200,Marketing,Events & Sponsorships,Web Summit,12160.66,1160856.6,Settled
TXN-2025013995,2025-01-03,2025,Q1,CC-300,Sales,CRM & Enablement Software,HubSpot,6502.13,620693.33,Settled
TXN-2025013987,2025-01-03,2025,Q1,CC-300,Sales,CRM & Enablement Software,HubSpot,17542.63,1674619.46,Settled
TXN-2025014989,2025-01-03,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,Oracle NetSuite,9799.23,935434.5,Settled
TXN-2025000465,2025-01-03,2025,Q1,CC-100,Engineering,Cloud Infrastructure,AWS,2374.58,226677.41,Settled
TXN-2025007851,2025-01-03,2025,Q1,CC-200,Marketing,Paid Performance Ads,Meta Ads,13114.35,1251895.85,Settled
TXN-2025019968,2025-01-03,2025,Q1,CC-600,Product & Design,UX Research & UserTesting,UserTesting,1093.03,104340.64,Settled
TXN-2025013475,2025-01-03,2025,Q1,CC-300,Sales,CRM & Enablement Software,Gong,13354.46,1274816.75,Cleared
TXN-2025012992,2025-01-03,2025,Q1,CC-300,Sales,Commissions & Incentives,Xactly,12686.97,1211098.16,Settled
TXN-2025017669,2025-01-03,2025,Q1,CC-400,Operations,Professional Services,PwC,4497.17,429299.85,Settled
TXN-2025009250,2025-01-03,2025,Q1,CC-200,Marketing,Events & Sponsorships,SaaStr Events,5643.04,538684.6,Settled
TXN-2025023468,2025-01-03,2025,Q1,CC-700,Customer Success,Ticketing & Support Tools,Zendesk,22054.29,2105302.52,Settled
TXN-2025014011,2025-01-03,2025,Q1,CC-300,Sales,CRM & Enablement Software,Salesforce,3201.07,305574.14,Settled
TXN-2025023196,2025-01-03,2025,Q1,CC-700,Customer Success,Ticketing & Support Tools,Intercom,5548.62,529671.27,Settled
TXN-2025003439,2025-01-03,2025,Q1,CC-100,Engineering,Salaries & Contractors,Contractor Payroll,6019.75,574645.34,Settled
TXN-2025019839,2025-01-03,2025,Q1,CC-500,Finance & Legal,Payroll Processing,Workday Payroll,8908.14,850371.04,Settled
TXN-2025003496,2025-01-03,2025,Q1,CC-100,Engineering,Salaries & Contractors,Adecco Staffing,3423.59,326815.9,Settled
TXN-2025016684,2025-01-03,2025,Q1,CC-400,Operations,Logistics & Shipping,DHL,13508.44,1289515.68,Settled
TXN-2025003220,2025-01-03,2025,Q1,CC-100,Engineering,Salaries & Contractors,Contractor Payroll,6802.76,649391.47,Settled
TXN-2025010039,2025-01-03,2025,Q1,CC-200,Marketing,Content & SEO Agencies,GrowthCraft Agency,10626.07,1014364.64,Settled
TXN-2025006545,2025-01-03,2025,Q1,CC-100,Engineering,Hardware & Peripherals,Lenovo,8071.34,770490.12,Cleared
TXN-2025008606,2025-01-03,2025,Q1,CC-200,Marketing,Events & Sponsorships,Web Summit,3096.62,295603.35,Settled
TXN-2025024535,2025-01-03,2025,Q1,CC-700,Customer Success,Retention Swag & Gifting,Sendoso,10465.99,999083.41,Cleared
TXN-2025022543,2025-01-03,2025,Q1,CC-700,Customer Success,Ticketing & Support Tools,Intercom,14474.18,1381705.22,Cleared
TXN-2025014705,2025-01-03,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,SAP,6122.31,584435.71,Settled
TXN-2025010446,2025-01-03,2025,Q1,CC-200,Marketing,Brand & Creative Assets,Canva Enterprise,6025.63,575206.64,Settled
TXN-2025016503,2025-01-03,2025,Q1,CC-400,Operations,Office Facilities & Lease,CBRE,20289.68,1936852.85,Settled
TXN-2025021728,2025-01-03,2025,Q1,CC-600,Product & Design,Design Contractors,Toptal,4152.49,396396.7,Settled
TXN-2025001190,2025-01-03,2025,Q1,CC-100,Engineering,Cloud Infrastructure,AWS,5492.55,524318.82,Settled
TXN-2025004074,2025-01-03,2025,Q1,CC-100,Engineering,Salaries & Contractors,Adecco Staffing,2367.65,226015.87,Cleared
TXN-2025005486,2025-01-03,2025,Q1,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,3968.18,378802.46,Settled
TXN-2025015756,2025-01-03,2025,Q1,CC-400,Operations,Office Facilities & Lease,CBRE,7568.95,722531.97,Cleared
TXN-2025010618,2025-01-03,2025,Q1,CC-200,Marketing,Brand & Creative Assets,Creative Studio Partners,5320.21,507867.25,Settled
TXN-2025019072,2025-01-03,2025,Q1,CC-500,Finance & Legal,Legal Counsel & Retainers,Regional Counsel,17099.17,1632286.77,Cleared
TXN-2025011563,2025-01-03,2025,Q1,CC-300,Sales,Commissions & Incentives,Direct Commission Disbursal,655.84,62606.49,Cleared
TXN-2025005025,2025-01-03,2025,Q1,CC-100,Engineering,DevOps Tooling,Datadog,2700.23,257763.96,Cleared
TXN-2025018573,2025-01-03,2025,Q1,CC-500,Finance & Legal,Legal Counsel & Retainers,Regional Counsel,5403.29,515798.06,Cleared
TXN-2025002455,2025-01-03,2025,Q1,CC-100,Engineering,Salaries & Contractors,Robert Half,7647.32,730013.17,Settled
TXN-2025011875,2025-01-03,2025,Q1,CC-300,Sales,Commissions & Incentives,Direct Commission Disbursal,8507.32,812108.77,Settled
TXN-2025019091,2025-01-03,2025,Q1,CC-500,Finance & Legal,Legal Counsel & Retainers,Regional Counsel,8608.5,821767.41,Settled
TXN-2025005124,2025-01-03,2025,Q1,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,2666.73,254566.05,Pending
TXN-2025006016,2025-01-03,2025,Q1,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,10034.4,957883.82,Settled
TXN-2025022178,2025-01-03,2025,Q1,CC-600,Product & Design,Design Contractors,Design Contractor Pool,11464.85,1094434.58,Settled
TXN-2025021394,2025-01-03,2025,Q1,CC-600,Product & Design,Prototyping Software,Miro,9462.67,903306.48,Settled
TXN-2025002064,2025-01-03,2025,Q1,CC-100,Engineering,Salaries & Contractors,Contractor Payroll,15089.63,1440456.08,Settled
TXN-2025006377,2025-01-03,2025,Q1,CC-100,Engineering,Hardware & Peripherals,Lenovo,12212.51,1165806.2,Cleared
TXN-2025012559,2025-01-03,2025,Q1,CC-300,Sales,Commissions & Incentives,Xactly,7469.39,713027.97,Cleared
TXN-2025018907,2025-01-03,2025,Q1,CC-500,Finance & Legal,Legal Counsel & Retainers,Baker McKenzie,2834.39,270570.87,Settled
TXN-2025001279,2025-01-03,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,1864.15,177951.76,Settled
TXN-2025022676,2025-01-03,2025,Q1,CC-700,Customer Success,Ticketing & Support Tools,Zendesk,3683.74,351649.82,Cleared
TXN-2025002593,2025-01-03,2025,Q1,CC-100,Engineering,Salaries & Contractors,Robert Half,9226.03,880716.82,Settled
TXN-2025023847,2025-01-03,2025,Q1,CC-700,Customer Success,Customer Advisory Board,Eventbrite,11082.78,1057962.18,Settled
TXN-2025019395,2025-01-03,2025,Q1,CC-500,Finance & Legal,Treasury & Bank Fees,Bank Processing Network,1407.98,134405.77,Settled
TXN-2025012453,2025-01-03,2025,Q1,CC-300,Sales,Commissions & Incentives,Xactly,3635.93,347085.88,Cleared
TXN-2025000104,2025-01-03,2025,Q1,CC-100,Engineering,Cloud Infrastructure,AWS,7219.24,689148.65,Settled
TXN-2025006192,2025-01-03,2025,Q1,CC-100,Engineering,Hardware & Peripherals,Lenovo,13904.21,1327295.89,Cleared
TXN-2025005618,2025-01-03,2025,Q1,CC-100,Engineering,DevOps Tooling,Datadog,4398.44,419875.08,Cleared
TXN-2025010956,2025-01-04,2025,Q1,CC-300,Sales,Travel & Entertainment,Marriott,3119.38,297776.01,Settled
TXN-2025001070,2025-01-04,2025,Q1,CC-100,Engineering,Cloud Infrastructure,AWS,5134.73,490161.33,Settled
TXN-2025014007,2025-01-04,2025,Q1,CC-300,Sales,CRM & Enablement Software,HubSpot,3637.05,347192.79,Cleared
TXN-2025001532,2025-01-04,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,1944.48,185620.06,Settled
TXN-2025008807,2025-01-04,2025,Q1,CC-200,Marketing,Events & Sponsorships,SaaStr Events,9632.52,919520.36,Settled
TXN-2025011039,2025-01-04,2025,Q1,CC-300,Sales,Travel & Entertainment,Uber for Business,6716.3,641138.0,Settled
TXN-2025013928,2025-01-04,2025,Q1,CC-300,Sales,CRM & Enablement Software,Gong,3430.74,327498.44,Settled
